#Digilent WaveForms Logic Analyzer Bus
#Device Name: Discovery2
#Serial Number: SN:210321B27B48
#Date Time: 2025-07-20 16:38:26.1000

Time (s),Data
-21.17103,187
-21.17089,187
-21.17075,187
-21.17061,0
-21.17047,170
-21.17033,170
-21.170185,170
-21.170045,0
-21.169905,153
-21.169765,153
-21.169625,153
-21.169485,0
-21.169345,136
-21.169205,136
-21.169065,136
-21.16892,0
-21.16878,119
-21.16864,119
-21.1685,119
-21.16836,0
-21.16822,102
-21.16808,102
-21.167935,102
-21.167795,0
-21.167655,85
-21.167245,85
-21.167105,85
-21.16696,0
-21.16682,68
-21.16668,68
-21.16654,68
-21.1664,0
-21.16626,51
-21.16612,51
-21.165975,51
-21.165835,0
-21.165695,34
-21.165555,34
-21.165415,34
-21.165275,0
-21.165135,17
-21.164995,17
-21.16485,17
-21.16471,0
-21.16457,0
-21.16443,0
-21.164285,0
-21.164125,0
-21.163985,255
-21.16384,255
-21.1637,255
-21.16356,0
-21.16342,255
-21.16328,255
-21.163135,224
-21.162995,0
-21.162845,255
-21.1627,255
-21.162555,193
-21.162405,0
-21.16226,255
-21.16212,255
-21.161975,162
-21.161835,0
-21.161695,255
-21.161555,255
-21.161415,131
-21.161275,0
-21.161135,255
-21.160995,255
-21.160855,100
-21.160715,0
-21.160575,255
-21.160435,255
-21.160295,69
-21.160155,0
-21.160015,255
-21.159875,255
-21.159735,38
-21.159595,0
-21.159455,255
-21.159315,255
-21.15917,0
-21.15903,0
-21.15889,247
-21.15875,247
-21.15861,0
-21.15847,0
-21.15833,239
-21.15819,239
-21.15805,0
-21.15791,0
-21.15777,231
-21.15763,231
-21.157485,0
-21.157345,0
-21.157205,223
-21.157065,223
-21.156925,0
-21.156765,0
-21.156625,215
-21.156485,215
-21.156345,0
-21.156205,0
-21.156065,207
-21.155925,207
-21.117075,0
-21.08591,0
-21.08146,192
-21.08132,192
-21.08118,0
-21.081035,0
-21.080895,0
-21.080755,0
-21.080615,0
-21.080475,0
-21.080335,0
-21.080195,0
-21.080055,0
-21.07991,0
-21.07977,0
-21.07963,0
-21.07949,0
-21.07935,0
-21.07921,0
-21.07907,0
-21.07893,0
-21.078785,0
-21.078645,0
-21.078505,0
-21.078365,0
-21.07822,0
-21.07808,0
-21.077935,0
-21.077795,0
-21.077655,0
-21.077515,0
-21.077375,0
-21.077235,0
-21.077095,0
-21.07695,0
-21.076805,0
-21.076655,0
-21.076515,0
-21.07637,0
-21.07623,0
-21.07609,0
-21.07595,0
-21.07581,0
-21.07567,0
-21.07553,0
-21.07539,0
-21.075245,0
-21.075105,0
-21.074965,0
-21.074825,0
-21.074685,0
-21.074545,0
-21.074405,0
-21.074265,0
-21.07412,0
-21.07398,0
-21.07384,0
-21.0737,0
-21.07356,0
-21.07342,0
-21.07328,0
-21.07314,0
-21.072995,0
-21.072855,0
-21.072715,0
-21.072575,0
-21.072435,0
-21.072295,165
-21.072155,255
-21.072015,0
-21.071875,0
-21.07173,0
-21.07159,0
-21.07145,0
-21.07131,0
-21.07117,0
-21.07103,0
-21.07089,0
-21.070745,0
-21.070605,0
-21.070465,0
-21.070325,0
-21.070185,0
-21.070045,0
-21.069905,0
-21.069765,0
-21.069625,0
-21.06948,0
-21.06934,0
-21.0692,0
-21.06906,0
-21.06892,0
-21.06878,0
-21.06864,0
-21.0685,0
-21.068355,0
-21.068215,0
-21.068075,0
-21.067935,0
-21.067795,0
-21.067655,0
-21.06724,0
-21.0671,0
-21.06696,0
-21.06682,0
-21.066675,0
-21.066535,0
-21.066395,0
-21.06625,0
-21.06611,0
-21.06597,0
-21.065825,0
-21.065685,0
-21.065545,0
-21.065405,0
-21.06526,0
-21.06512,0
-21.064975,0
-21.064825,0
-21.064675,0
-21.06453,0
-21.06438,0
-21.06424,0
-21.0641,0
-21.063955,0
-21.063815,0
-21.063675,0
-21.063535,0
-21.063395,0
-21.063255,0
-21.063115,0
-21.062975,0
-21.062835,0
-21.062695,0
-21.062555,0
-21.062415,0
-21.062275,0
-21.062135,0
-21.061995,0
-21.061855,0
-21.061715,0
-21.061575,0
-21.061435,0
-21.061295,0
-21.061155,0
-21.061015,0
-21.06087,0
-21.06073,0
-21.06059,0
-21.06045,0
-21.06031,0
-21.06017,0
-21.06003,0
-21.05989,0
-21.059745,0
-21.059605,0
-21.059465,0
-21.059325,0
-21.059185,0
-21.059045,0
-21.058905,0
-21.058765,0
-21.058625,0
-21.05848,0
-21.05834,0
-21.0582,0
-21.05806,0
-21.05792,0
-21.05778,0
-21.05764,0
-21.0575,0
-21.05736,0
-21.057215,0
-21.057075,0
-21.056935,0
-21.056795,0
-21.056655,0
-21.056515,0
-21.056375,0
-21.056235,0
-21.05609,0
-21.05595,0
-21.05581,0
-21.05567,0
-21.05553,0
-21.05539,0
-21.05525,0
-21.055105,0
-21.054965,0
-21.054825,0
-21.054685,0
-21.054545,0
-21.0544,0
-21.054255,0
-21.054115,0
-21.053975,0
-21.053835,0
-21.053695,0
-21.053555,0
-21.053415,0
-21.05327,0
-21.05313,0
-21.052985,0
-21.05284,0
-21.05269,0
-21.052545,0
-21.0524,0
-21.052255,0
-21.05211,0
-21.05197,0
-21.05183,0
-21.05169,0
-21.05155,0
-21.05141,0
-21.05127,0
-21.05113,0
-21.05099,0
-21.01253,0
-21.012385,0
-21.012245,0
-21.012105,0
-21.011945,0
-21.011805,0
-21.011665,0
-21.011525,0
-21.011385,0
-21.011245,0
-21.0111,0
-21.01096,0
-21.01082,0
-21.01068,0
-21.01054,0
-21.0104,0
-21.01024,0
-21.0101,0
-21.00996,0
-21.00982,0
-21.00968,0
-21.00954,0
-21.0094,0
-21.00926,0
-21.009115,0
-21.008975,0
-21.008835,0
-21.008695,0
-21.008555,0
-21.008415,0
-21.008275,0
-21.008135,0
-21.007995,0
-21.007855,0
-21.007715,0
-21.007575,0
-21.00743,0
-21.00729,0
-21.00715,0
-21.00701,0
-21.00687,0
-21.00673,0
-21.00659,0
-21.00645,0
-21.00631,0
-21.00617,0
-21.00603,0
-21.00589,0
-21.00575,0
-21.00561,0
-21.00547,0
-21.005325,0
-21.005185,0
-21.00504,0
-21.0049,0
-21.00476,0
-21.00462,0
-21.00448,0
-21.00434,0
-21.0042,0
-21.004055,0
-21.00391,0
-21.00376,0
-21.003615,0
-21.003465,0
-21.00332,0
-21.003175,0
-21.003035,0
-21.002895,0
-21.002755,0
-21.002615,0
-21.002475,0
-21.00233,0
-21.00219,0
-21.00205,0
-21.00191,0
-21.00177,0
-21.00163,0
-21.00149,0
-21.00135,0
-21.00121,0
-21.001065,0
-21.000595,0
-21.000455,0
-21.000315,0
-21.000175,0
-21.000035,0
-20.999895,0
-20.999755,0
-20.99961,0
-20.99947,0
-20.99933,0
-20.99919,0
-20.99905,0
-20.99891,0
-20.99877,0
-20.99863,0
-20.99849,0
-20.99835,0
-20.998205,0
-20.998065,0
-20.997925,0
-20.997785,0
-20.997625,0
-20.997485,0
-20.997345,0
-20.997205,0
-20.997045,0
-20.996905,0
-20.996765,0
-20.996605,0
-20.996465,0
-20.996325,0
-20.99618,0
-20.99604,0
-20.99588,0
-20.99574,0
-20.9956,0
-20.99546,0
-20.9953,0
-20.99516,0
-20.99502,0
-20.99488,0
-20.99474,0
-20.9946,0
-20.99446,0
-20.99432,0
-20.994175,0
-20.994035,0
-20.993895,0
-20.993755,0
-20.993615,0
-20.993475,0
-20.993335,0
-20.993195,0
-20.993055,0
-20.992915,0
-20.992775,0
-20.992635,0
-20.992495,0
-20.992355,0
-20.992215,0
-20.992075,0
-20.99193,0
-20.991775,0
-20.99163,0
-20.99149,0
-20.99135,0
-20.99121,0
-20.991065,0
-20.990915,0
-20.99077,0
-20.99062,0
-20.990475,0
-20.99033,0
-20.990185,0
-20.990045,0
-20.989905,0
-20.989765,0
-20.98962,0
-20.98948,0
-20.98934,0
-20.9892,0
-20.98906,0
-20.98892,0
-20.98878,0
-20.98864,0
-20.9885,0
-20.98836,0
-20.988215,0
-20.988075,0
-20.987935,0
-20.987795,0
-20.987655,0
-20.987515,0
-20.987375,0
-20.987235,0
-20.98709,0
-20.98695,0
-20.98681,0
-20.98667,0
-20.98653,0
-20.98639,0
-20.98625,0
-20.98611,0
-20.985965,0
-20.985825,0
-20.985685,0
-20.985545,0
-20.985405,0
-20.985265,0
-20.985125,0
-20.984985,0
-20.98484,0
-20.9847,0
-20.98456,0
-20.98442,0
-20.98428,0
-20.983725,0
-20.983575,0
-20.98343,0
-20.983285,0
-20.983145,0
-20.983005,0
-20.982865,0
-20.982725,0
-20.982585,0
-20.98244,0
-20.9823,0
-20.98216,0
-20.98202,0
-20.98188,0
-20.98174,0
-20.9816,0
-20.98146,0
-20.98132,0
-20.981175,0
-20.981035,0
-20.980895,0
-20.980755,0
-20.980615,0
-20.980475,0
-20.98033,0
-20.98019,0
-20.98005,0
-20.97991,0
-20.97977,0
-20.97963,0
-20.97949,0
-20.97935,0
-20.97921,0
-20.979065,0
-20.97892,0
-20.978775,0
-20.97863,0
-20.978485,0
-20.97834,0
-20.9782,0
-20.97806,0
-20.97792,0
-20.97778,0
-20.97764,0
-20.9775,0
-20.97736,0
-20.97722,0
-20.977075,0
-20.976935,0
-20.976795,0
-20.976655,0
-20.976515,0
-20.976375,0
-20.976235,0
-20.976095,0
-20.97595,0
-20.97581,0
-20.97567,0
-20.97553,0
-20.97539,0
-20.97525,0
-20.97511,0
-20.97497,0
-20.974825,0
-20.974685,0
-20.974545,0
-20.974405,0
